country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,alberta,10-04-2023,02-04-2023,17,24,110,oilers,sports,53.01669802,-112.8166386
canada,ontario,10-04-2023,02-04-2023,17,22,110,oilers,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,02-04-2023,17,31,110,oilers,sports,50.93331097,-102.7999891
canada,manitoba,10-04-2023,02-04-2023,12,19,150,oilers game,sports,50.15002545,-96.88332178
canada,prince edward island,10-04-2023,02-04-2023,5,31,250,premier league,sports,46.24928164,-63.13132512
canada,saskatchewan,10-04-2023,02-04-2023,5,31,250,premier league,sports,50.93331097,-102.7999891
canada,nova scotia,10-04-2023,02-04-2023,22,4,40,raptors,sports,45.58327578,-62.63331934
canada,nunavut,10-04-2023,02-04-2023,22,16,40,raptors,sports,68.76746684,-81.23608303
canada,prince edward island,10-04-2023,02-04-2023,22,2,40,raptors,sports,46.24928164,-63.13132512
canada,saskatchewan,10-04-2023,02-04-2023,22,3,40,raptors,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,02-04-2023,23,26,40,toronto blue jays,sports,53.01669802,-112.8166386
canada,saskatchewan,10-04-2023,02-04-2023,15,20,130,ufc,sports,50.93331097,-102.7999891
canada,nova scotia,10-04-2023,02-04-2023,10,64,180,ufc 287,sports,45.58327578,-62.63331934
canada,northwest territories,10-04-2023,02-04-2023,10,48,180,ufc 287,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,02-04-2023,10,60,180,ufc 287,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,02-04-2023,16,100,120,whl scores,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,02-04-2023,19,35,50,blue jays,sports,49.09996035,-116.516697
canada,northwest territories,10-04-2023,02-04-2023,19,47,50,blue jays,sports,62.40005292,-110.7333291
canada,prince edward island,10-04-2023,02-04-2023,19,33,50,blue jays,sports,46.24928164,-63.13132512
canada,new brunswick,10-04-2023,02-04-2023,14,10,130,blue jays score,sports,45.26704185,-66.07667505
canada,northwest territories,10-04-2023,02-04-2023,14,32,130,blue jays score,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,02-04-2023,14,19,130,blue jays score,sports,50.93331097,-102.7999891
canada,british columbia,10-04-2023,02-04-2023,13,21,140,david suzuki,people,49.09996035,-116.516697
canada,ontario,10-04-2023,02-04-2023,2,1,600,delonte west,people,44.56664532,-80.84998519
canada,nova scotia,10-04-2023,02-04-2023,18,29,70,edmonton oilers,sports,45.58327578,-62.63331934
canada,new brunswick,10-04-2023,02-04-2023,9,28,250,epl,sports,45.26704185,-66.07667505
canada,prince edward island,10-04-2023,02-04-2023,9,25,250,epl,sports,46.24928164,-63.13132512
canada,saskatchewan,10-04-2023,02-04-2023,11,25,160,lakers,sports,50.93331097,-102.7999891
canada,manitoba,10-04-2023,02-04-2023,7,36,250,lotto max,entertainment,50.15002545,-96.88332178
canada,saskatchewan,10-04-2023,02-04-2023,7,18,250,lotto max,entertainment,50.93331097,-102.7999891
canada,manitoba,10-04-2023,02-04-2023,21,26,40,mlb scores,sports,50.15002545,-96.88332178
canada,ontario,10-04-2023,02-04-2023,21,28,40,mlb scores,sports,44.56664532,-80.84998519
canada,manitoba,10-04-2023,02-04-2023,20,100,50,nba standings,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,02-04-2023,20,71,50,nba standings,sports,45.26704185,-66.07667505
canada,manitoba,10-04-2023,02-04-2023,17,21,110,oilers,sports,50.15002545,-96.88332178
canada,manitoba,10-04-2023,02-04-2023,5,62,250,premier league,sports,50.15002545,-96.88332178
canada,alberta,10-04-2023,02-04-2023,8,18,250,psg,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,02-04-2023,8,13,250,psg,sports,49.09996035,-116.516697
canada,british columbia,10-04-2023,02-04-2023,22,3,40,raptors,sports,49.09996035,-116.516697
canada,ontario,10-04-2023,02-04-2023,22,5,40,raptors,sports,44.56664532,-80.84998519
canada,british columbia,10-04-2023,02-04-2023,6,60,250,real madrid,sports,49.09996035,-116.516697
canada,new brunswick,10-04-2023,02-04-2023,6,27,250,real madrid,sports,45.26704185,-66.07667505
canada,newfoundland and labrador,10-04-2023,02-04-2023,6,81,250,real madrid,sports,49.17440025,-57.42691878
canada,ontario,10-04-2023,02-04-2023,6,69,250,real madrid,sports,44.56664532,-80.84998519
canada,british columbia,10-04-2023,02-04-2023,3,7,600,ufc tonight,sports,49.09996035,-116.516697
canada,new brunswick,10-04-2023,02-04-2023,3,85,600,ufc tonight,sports,45.26704185,-66.07667505
canada,ontario,10-04-2023,02-04-2023,3,23,600,ufc tonight,sports,44.56664532,-80.84998519
canada,nova scotia,10-04-2023,02-04-2023,16,37,120,whl scores,sports,45.58327578,-62.63331934
canada,newfoundland and labrador,10-04-2023,26-03-2023,19,26,50,blue jays,sports,49.17440025,-57.42691878
canada,british columbia,10-04-2023,26-03-2023,14,14,130,blue jays score,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,26-03-2023,14,4,130,blue jays score,sports,45.58327578,-62.63331934
canada,british columbia,10-04-2023,26-03-2023,9,28,250,epl,sports,49.09996035,-116.516697
canada,northwest territories,10-04-2023,26-03-2023,9,66,250,epl,sports,62.40005292,-110.7333291
canada,british columbia,10-04-2023,26-03-2023,7,15,250,lotto max,entertainment,49.09996035,-116.516697
canada,saskatchewan,10-04-2023,26-03-2023,7,18,250,lotto max,entertainment,50.93331097,-102.7999891
canada,british columbia,10-04-2023,26-03-2023,4,23,250,lotto max winning numbers,entertainment,49.09996035,-116.516697
canada,saskatchewan,10-04-2023,26-03-2023,21,18,40,mlb scores,sports,50.93331097,-102.7999891
canada,manitoba,10-04-2023,26-03-2023,17,18,110,oilers,sports,50.15002545,-96.88332178
canada,northwest territories,10-04-2023,26-03-2023,17,37,110,oilers,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,26-03-2023,17,30,110,oilers,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,26-03-2023,12,19,150,oilers game,sports,53.01669802,-112.8166386
canada,manitoba,10-04-2023,26-03-2023,12,12,150,oilers game,sports,50.15002545,-96.88332178
canada,ontario,10-04-2023,26-03-2023,5,35,250,premier league,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,26-03-2023,8,6,250,psg,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,26-03-2023,8,6,250,psg,sports,49.09996035,-116.516697
canada,prince edward island,10-04-2023,26-03-2023,22,1,40,raptors,sports,46.24928164,-63.13132512
canada,manitoba,10-04-2023,26-03-2023,23,23,40,toronto blue jays,sports,50.15002545,-96.88332178
canada,british columbia,10-04-2023,26-03-2023,10,83,180,ufc 287,sports,49.09996035,-116.516697
canada,ontario,10-04-2023,26-03-2023,10,54,180,ufc 287,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,26-03-2023,10,48,180,ufc 287,sports,50.93331097,-102.7999891
