country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,Country,latitude,longitude
canada,saskatchewan,2023-04-10,2023-04-02,11,25,160,lakers,sports,Canada,50.93331097,-102.7999891
canada,manitoba,2023-04-10,2023-04-02,7,36,250,lotto max,entertainment,Canada,50.15002545,-96.88332178
canada,saskatchewan,2023-04-10,2023-04-02,7,18,250,lotto max,entertainment,Canada,50.93331097,-102.7999891
canada,manitoba,2023-04-10,2023-04-02,21,26,40,mlb scores,sports,Canada,50.15002545,-96.88332178
canada,ontario,2023-04-10,2023-04-02,21,28,40,mlb scores,sports,Canada,44.56664532,-80.84998519
canada,manitoba,2023-04-10,2023-04-02,20,100,50,nba standings,sports,Canada,50.15002545,-96.88332178
canada,new brunswick,2023-04-10,2023-04-02,20,71,50,nba standings,sports,Canada,45.26704185,-66.07667505
canada,manitoba,2023-04-10,2023-04-02,17,21,110,oilers,sports,Canada,50.15002545,-96.88332178
canada,manitoba,2023-04-10,2023-04-02,5,62,250,premier league,sports,Canada,50.15002545,-96.88332178
canada,alberta,2023-04-10,2023-04-02,8,18,250,psg,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-04-02,8,13,250,psg,sports,Canada,49.09996035,-116.516697
canada,british columbia,2023-04-10,2023-04-02,22,3,40,raptors,sports,Canada,49.09996035,-116.516697
canada,ontario,2023-04-10,2023-04-02,22,5,40,raptors,sports,Canada,44.56664532,-80.84998519
canada,british columbia,2023-04-10,2023-04-02,6,60,250,real madrid,sports,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-04-02,6,27,250,real madrid,sports,Canada,45.26704185,-66.07667505
canada,newfoundland and labrador,2023-04-10,2023-04-02,6,81,250,real madrid,sports,Canada,49.17440025,-57.42691878
canada,ontario,2023-04-10,2023-04-02,6,69,250,real madrid,sports,Canada,44.56664532,-80.84998519
canada,british columbia,2023-04-10,2023-04-02,3,7,600,ufc tonight,sports,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-04-02,3,85,600,ufc tonight,sports,Canada,45.26704185,-66.07667505
canada,ontario,2023-04-10,2023-04-02,3,23,600,ufc tonight,sports,Canada,44.56664532,-80.84998519
canada,nova scotia,2023-04-10,2023-04-02,16,37,120,whl scores,sports,Canada,45.58327578,-62.63331934
canada,newfoundland and labrador,2023-04-10,2023-03-26,19,26,50,blue jays,sports,Canada,49.17440025,-57.42691878
canada,british columbia,2023-04-10,2023-03-26,14,14,130,blue jays score,sports,Canada,49.09996035,-116.516697
canada,nova scotia,2023-04-10,2023-03-26,14,4,130,blue jays score,sports,Canada,45.58327578,-62.63331934
canada,british columbia,2023-04-10,2023-03-26,9,28,250,epl,sports,Canada,49.09996035,-116.516697
canada,northwest territories,2023-04-10,2023-03-26,9,66,250,epl,sports,Canada,62.40005292,-110.7333291
canada,british columbia,2023-04-10,2023-03-26,7,15,250,lotto max,entertainment,Canada,49.09996035,-116.516697
